,university,career,full_name,gender,date_of_birth,postal_code,location,email
0,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,MATTHEW WILSON,M,1957-04-12,5835,null,CAMPBELLDAVID@GMAIL.COM
1,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN MUSICOTERAPIA,DANIELLE MASON,F,1972-04-16,3555,null,DAVID48@YAHOO.COM
2,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_GESTIÓN_DE_AGROALIMENTOS,MRS._JULIE_SMITH,F,1953-10-10,null,BUENA_VISTA,KARENCRUZ@YAHOO.COM
3,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN TERAPIA OCUPACIONAL,NATHAN BROWN,M,2007-02-11,1746,null,DANIELLE73@HOTMAIL.COM
4,UNIV. NACIONAL DEL COMAHUE,DISEÑO DE IMAGEN Y SONIDO,MR. ROBERT GARCIA MD,M,1991-03-30,2600,null,JAMESSMITH@HOTMAIL.COM
5,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,DAVID SANTANA,M,1918-08-09,6317,null,REBECCAJOHNSON@HOTMAIL.COM
6,UNIV. NACIONAL DEL COMAHUE,BIOQUÍMICA,MARK ALVARADO,M,1990-11-15,5513,null,COLLEENRICHARDSON@YAHOO.COM
7,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ADMINISTRACIÓN ,CARLA WAGNER,F,1935-11-27,2109,null,SHEENA43@GMAIL.COM
8,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,JENNIFER DUNN,F,1923-09-22,6407,null,JOHN08@HOTMAIL.COM
9,UNIVERSIDAD_DEL_SALVADOR,LICENCIATURA_EN_SOCIOLOGÍA_,MICHELLE_WADE,F,1909-03-31,null,ALASTUEY,KLEWIS@GMAIL.COM
10,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,KENNETH HERNANDEZ DDS,M,1909-02-27,1625,null,PUGHREBECCA@HOTMAIL.COM
