,university,career,full_name,gender,postal_code,location,email,birth_date
0,universidad nacional de jujuy,licenciatura en sociología ,joe cameron,m,,campo largo,joshua98@gmail.com,1914-07-25
1,universidad nacional de jujuy,ingeniería electrónica,anna kelly,f,,baldes de pacheco,chouston@gmail.com,1940-11-17
2,_universidad_de_palermo,farmacia,paul_dawson,m,3144,,smithchristopher@hotmail.com,1908-04-29
3,universidad nacional de jujuy,licenciatura en artes,frances garcia,f,,capitan bermudez,kimberlyberger@yahoo.com,1969-04-01
4,universidad nacional de jujuy,ingeniería electrónica,kayla harris,f,,atuel sud,jacksonrichard@yahoo.com,1982-01-14
5,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,jasmin rocha,f,,25 de mayo,williamsmisty@yahoo.com,1935-03-28
6,_universidad_de_palermo,licenciatura_en_ciencias_ambientales,monique_chase,f,2707,,gracemonroe@hotmail.com,1984-04-01
7,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,james knapp md,m,,cacui,vjohnson@gmail.com,1930-10-21
8,universidad nacional de jujuy,ingeniería en informática,dana oneill,f,,maria magdalena,gary33@yahoo.com,1926-11-09
9,universidad nacional de jujuy,agronomía,matthew jensen,m,,funke,erinmcclain@hotmail.com,1948-10-30
10,universidad nacional de jujuy,licenciatura en administración ,matthew martin,m,,aldea maria luisa,leeashley@hotmail.com,1909-02-16
11,universidad nacional de jujuy,licenciatura en musicoterapia,carolyn clark,f,,colonia centenario,jordanleslie@hotmail.com,1969-05-30
12,universidad nacional de jujuy,licenciatura en musicoterapia,maria holt,f,,cañada rica,shannonfigueroa@gmail.com,2003-09-18
13,universidad nacional de jujuy,licenciatura en ciencias de la computación,jennifer casey,f,,avena,craig76@yahoo.com,1978-07-30
14,universidad nacional de jujuy,ingeniería electrónica,michael drake,m,,alanices,emcgee@gmail.com,1907-12-20
15,universidad nacional de jujuy,ingeniería mecánica,jessica gibbs,f,,dina huapi,mmorales@yahoo.com,1995-01-30
16,_universidad_de_palermo,ingeniería_electrónica,lisa_parks,f,4522,,samuel07@yahoo.com,1988-03-03
17,universidad nacional de jujuy,licenciatura en ciencias antropológicas,allison copeland,f,,villa adelina,jay98@hotmail.com,1935-03-28
18,universidad nacional de jujuy,licenciatura en musicoterapia,colin holland,m,,colonia la gaviota,hernandezjoseph@gmail.com,1922-05-31
19,universidad nacional de jujuy,ingeniería en informática,sara boyle,f,,buena esperanza,manuellarson@gmail.com,1917-10-05
20,_universidad_de_palermo,licenciatura_en_ciencias_de_la_computación,brian_alexander,m,6465,,david51@gmail.com,1964-05-21
21,universidad nacional de jujuy,licenciatura en ciencias ambientales,dylan baldwin,m,,bravo del dos,beckmichelle@gmail.com,1914-05-22
22,universidad nacional de jujuy,ingeniería mecánica,ryan montgomery,m,,el zorro,jennifer73@yahoo.com,1921-12-03
23,universidad nacional de jujuy,licenciatura en sociología ,anthony george,m,,anecon chico,ccollins@yahoo.com,1935-09-27
24,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,joanna lopez,f,,adela corti,larastephanie@hotmail.com,1995-01-12
25,universidad nacional de jujuy,bioquímica,lauren reyes,f,,el remanso,cindy82@hotmail.com,1971-05-04
26,_universidad_de_palermo,actuario_,michelle_ramirez,f,1731,,meredithbrown@gmail.com,1941-09-17
27,universidad nacional de jujuy,diseño industrial,john garcia,m,,arroyo dulce,gbridges@yahoo.com,2004-01-10
28,_universidad_de_palermo,licenciatura_en_administración_,michelle_carney,f,4149,,melissa86@yahoo.com,1995-07-18
29,universidad nacional de jujuy,diseño de imagen y sonido,rhonda davies,f,,alta italia,marc93@hotmail.com,1929-06-28
30,universidad nacional de jujuy,licenciatura en terapia ocupacional,timothy clark,m,,agua negra,kimberlywright@gmail.com,1996-05-10
31,universidad nacional de jujuy,diseño de imagen y sonido,kimberly richardson,f,,barrio la dolly,todd04@hotmail.com,1980-09-10
32,universidad nacional de jujuy,técnico para bioterios ,cory castro,m,,esc nav militar rio sant,turnerdillon@yahoo.com,1919-01-25
33,universidad nacional de jujuy,ingeniería en informática,kimberly cox,f,,colonia nac de alienados,salazarlinda@hotmail.com,1987-12-26
34,universidad nacional de jujuy,licenciatura en ciencias de la computación,stacy ross,f,,larrechea,guerrashelby@yahoo.com,1985-12-16
35,universidad nacional de jujuy,técnico para bioterios ,anna brown,f,,1 de mayo,jesuswebb@yahoo.com,2002-12-12
36,universidad nacional de jujuy,agronomía,lisa parker,f,,alamos,lindsey94@gmail.com,1923-03-27
37,universidad nacional de jujuy,diseño industrial,edward phillips,m,,el pingo,mgonzalez@hotmail.com,1912-03-30
38,universidad nacional de jujuy,diseño de imagen y sonido,seth oliver,m,,labarden,zacharyhaynes@hotmail.com,1975-02-02
39,universidad nacional de jujuy,licenciatura en producción de bioimagenes,shawn rodriguez,m,,colonia ferrari,adrianalewis@yahoo.com,1932-01-21
40,universidad nacional de jujuy,licenciatura en ciencias antropológicas,leslie matthews,f,,abo nezu,timalvarado@yahoo.com,1925-02-19
41,universidad nacional de jujuy,ingeniería en informática,kathleen garcia,f,,arroyo pescado,bondshawn@gmail.com,1998-01-01
42,universidad nacional de jujuy,arquitectura,michael adkins,m,,san isidro,careyrobert@hotmail.com,2001-07-25
43,_universidad_de_palermo,licenciatura_en_relaciones_del_trabajo_,alexander_diaz,m,3252,,amanda46@gmail.com,1982-02-09
44,_universidad_de_palermo,licenciatura_en_relaciones_del_trabajo_,james_payne,m,2726,,tinawebb@gmail.com,1990-11-25
45,universidad nacional de jujuy,licenciatura en ciencia política ,cristian nunez,m,,campo santo domingo,maria04@yahoo.com,2002-06-19
46,_universidad_de_palermo,arquitectura,samuel_johnson,m,2300,,xhall@yahoo.com,1907-06-13
47,universidad nacional de jujuy,contador público ,debra wright,f,,anguil,davidruiz@gmail.com,1949-12-06
48,universidad nacional de jujuy,licenciatura en psicología,wayne franklin,m,,las hermanas,hendersonsamantha@yahoo.com,1917-08-08
49,universidad nacional de jujuy,licenciatura en musicoterapia,jacqueline long,f,,colonia la india,felicia24@yahoo.com,1998-09-30
50,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,ashley henderson,f,,corbett,vwebb@gmail.com,1917-05-20
51,universidad nacional de jujuy,licenciatura en psicología,paul gray,m,,los indios,dicksonsarah@hotmail.com,1922-01-17
52,_universidad_de_palermo,farmacia,derek_morgan,m,2216,,joel18@hotmail.com,1970-02-05
53,universidad nacional de jujuy,bioquímica,anna decker,f,,la gama,jennifer34@hotmail.com,1969-05-25
54,universidad nacional de jujuy,licenciatura en ciencias ambientales,wesley acosta,m,,corbett,linda85@yahoo.com,1965-10-17
55,_universidad_de_palermo,licenciatura_en_ciencias_ambientales,david_johnson,m,7165,,judymiles@yahoo.com,1906-06-03
56,_universidad_de_palermo,licenciatura_en_ciencia_y_tecnología_de_alimentos,catherine_williams,f,5403,,juliehenderson@gmail.com,1921-02-18
57,_universidad_de_palermo,ingeniería_electrónica,kelly_daniel,f,2246,,bonnie07@hotmail.com,1953-03-20
58,universidad nacional de jujuy,ingeniería electrónica,anthony dawson,m,,arata,evalencia@gmail.com,1953-01-24
59,universidad nacional de jujuy,licenciatura en musicoterapia,wendy gonzalez,f,,almacen piatti,bstone@gmail.com,1938-10-27
60,universidad nacional de jujuy,licenciatura en artes,michael sparks,m,,capitan bermudez,othomas@yahoo.com,1979-07-04
61,universidad nacional de jujuy,arquitectura,laurie williamson,f,,francisco alvarez,jean58@yahoo.com,1907-08-26
62,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,joshua swanson,m,,caaguazu,belinda48@yahoo.com,1940-07-18
63,universidad nacional de jujuy,licenciatura en musicoterapia,angel ford,f,,caminera samborombon,jodi91@yahoo.com,1911-12-23
64,universidad nacional de jujuy,licenciatura en terapia ocupacional,eric white,m,,alto lindo,ebowers@gmail.com,1982-10-30
65,_universidad_de_palermo,ciencias_veterinarias,steven_russell,m,5405,,david33@gmail.com,1906-03-26
